sample,chr,startpos,endpos
P134_2,chr8,83806685,83903065
P134_2,chr8,83903066,90877397
P134_2,chr8,90877398,92303122
P134_2,chr8,92303123,96670570
P134_2,chr8,96670571,97779847
P134_2,chr8,97779848,99633413
P134_2,chr8,99633414,103408214
P134_2,chr8,103408215,104784772
P134_2,chr8,104784773,107148976
P134_2,chr8,107148977,107882144
P134_2,chr8,107882145,108350668
P134_2,chr8,108350669,117986738
P134_2,chr8,117986739,143450164
P134_2,chr8,143450165,144233400
P134_2,chr8,144233401,146259314
P135_1,chr8,0,3421
P135_1,chr8,3422,87788713
P135_1,chr8,87788714,112080277
P135_1,chr8,112080278,146259314
P135_2,chr8,0,3421
P135_2,chr8,3422,146259314
P136_1,chr8,0,3421
P136_1,chr8,3422,527056
P136_1,chr8,527057,6354383
P136_1,chr8,6354384,9080070
P136_1,chr8,9080071,10003949
P136_1,chr8,10003950,12031906
P136_1,chr8,12031907,23420037
P136_1,chr8,23420038,25140238
P136_1,chr8,25140239,27660238
P136_1,chr8,27660239,28327291
P136_1,chr8,28327292,30546130
P136_1,chr8,30546131,40498719
P136_1,chr8,40498720,43724547
P136_1,chr8,43724548,46129027
P136_1,chr8,46129028,48116907
P136_1,chr8,48116908,49943699
P136_1,chr8,49943700,49998707
P136_1,chr8,49998708,50216529
P136_1,chr8,50216530,54350123
P136_1,chr8,54350124,59593952
P136_1,chr8,59593953,59891470
P136_1,chr8,59891471,60931110
P136_1,chr8,60931111,62527166
P136_1,chr8,62527167,65995905
P136_1,chr8,65995906,67930205
P136_1,chr8,67930206,67941618
P136_1,chr8,67941619,72800027
P136_1,chr8,72800028,77668701
P136_1,chr8,77668702,78976178
P136_1,chr8,78976179,79471026
P136_1,chr8,79471027,80401527
P136_1,chr8,80401528,82443797
P136_1,chr8,82443798,82673025
P136_1,chr8,82673026,83495755
P136_1,chr8,83495756,83680031
P136_1,chr8,83680032,84616367
P136_1,chr8,84616368,85205771
P136_1,chr8,85205772,86168269
P136_1,chr8,86168270,87319616
P136_1,chr8,87319617,88404839
P136_1,chr8,88404840,89007253
P136_1,chr8,89007254,89462942
P136_1,chr8,89462943,91015385
P136_1,chr8,91015386,92385976
P136_1,chr8,92385977,95597399
P136_1,chr8,95597400,97297400
P136_1,chr8,97297401,100693290
P136_1,chr8,100693291,101128856
P136_1,chr8,101128857,101688492
P136_1,chr8,101688493,101833040
P136_1,chr8,101833041,107669189
P136_1,chr8,107669190,110826450
P136_1,chr8,110826451,112164176
P136_1,chr8,112164177,119202397
P136_1,chr8,119202398,122606652
P136_1,chr8,122606653,123286798
P136_1,chr8,123286799,127278783
P136_1,chr8,127278784,127425640
P136_1,chr8,127425641,127725328
P136_1,chr8,127725329,128062350
P136_1,chr8,128062351,128376923
P136_1,chr8,128376924,128872906
P136_1,chr8,128872907,131064320
P136_1,chr8,131064321,135512971
P136_1,chr8,135512972,141618208
P136_1,chr8,141618209,146259314
P136_2,chr8,0,3421
P136_2,chr8,3422,1975413
P136_2,chr8,1975414,2093565
P136_2,chr8,2093566,8193714
P136_2,chr8,8193715,12616695
P136_2,chr8,12616696,20288886
P136_2,chr8,20288887,23275551
P136_2,chr8,23275552,29844895
P136_2,chr8,29844896,36939649
P136_2,chr8,36939650,37115523
P136_2,chr8,37115524,43069441
P136_2,chr8,43069442,47393027
P136_2,chr8,47393028,48009320
P136_2,chr8,48009321,50666041
P136_2,chr8,50666042,52467869
P136_2,chr8,52467870,52741855
P136_2,chr8,52741856,69861386
P136_2,chr8,69861387,76111995
P136_2,chr8,76111996,76145901
P136_2,chr8,76145902,77263798
P136_2,chr8,77263799,80825302
P136_2,chr8,80825303,82767843
P136_2,chr8,82767844,87632789
P136_2,chr8,87632790,88078050
P136_2,chr8,88078051,91241706
P136_2,chr8,91241707,93754980
P136_2,chr8,93754981,98619532
P136_2,chr8,98619533,99029976
P136_2,chr8,99029977,115350210
P136_2,chr8,115350211,115629286
P136_2,chr8,115629287,118678031
P136_2,chr8,118678032,124264119
P136_2,chr8,124264120,128094425
P136_2,chr8,128094426,128730216
P136_2,chr8,128730217,130146252
P136_2,chr8,130146253,131391048
P136_2,chr8,131391049,140148598
P136_2,chr8,140148599,146259314
P137_1,chr8,0,3421
P137_1,chr8,3422,1754284
P137_1,chr8,1754285,4284820
P137_1,chr8,4284821,6275036
P137_1,chr8,6275037,37682188
P137_1,chr8,37682189,38876062
P137_1,chr8,38876063,39668028
P137_1,chr8,39668029,43976221
P137_1,chr8,43976222,46456564
P137_1,chr8,46456565,57740306
P137_1,chr8,57740307,62369133
P137_1,chr8,62369134,62477960
P137_1,chr8,62477961,64135210
P137_1,chr8,64135211,65167444
P137_1,chr8,65167445,89571426
P137_1,chr8,89571427,96242707
P137_1,chr8,96242708,114949815
P137_1,chr8,114949816,120378347
P137_1,chr8,120378348,132568063
P137_1,chr8,132568064,134362667
P137_1,chr8,134362668,137485081
P137_1,chr8,137485082,143305240
P137_1,chr8,143305241,146259314
P137_2,chr8,0,3421
P137_2,chr8,3422,1623106
P137_2,chr8,1623107,1839286
P137_2,chr8,1839287,4301324
P137_2,chr8,4301325,6320440
P137_2,chr8,6320441,6354383
P137_2,chr8,6354384,6772552
P137_2,chr8,6772553,13209096
P137_2,chr8,13209097,17719382
P137_2,chr8,17719383,21216570
P137_2,chr8,21216571,26143887
P137_2,chr8,26143888,26840140
P137_2,chr8,26840141,26876624
P137_2,chr8,26876625,27299758
P137_2,chr8,27299759,27911344
P137_2,chr8,27911345,28286584
P137_2,chr8,28286585,28291987
P137_2,chr8,28291988,28714949
P137_2,chr8,28714950,29141557
P137_2,chr8,29141558,29361949
P137_2,chr8,29361950,29394433
P137_2,chr8,29394434,29844895
P137_2,chr8,29844896,30546130
P137_2,chr8,30546131,30882829
P137_2,chr8,30882830,33172146
P137_2,chr8,33172147,33917082
P137_2,chr8,33917083,34394678
P137_2,chr8,34394679,34510913
P137_2,chr8,34510914,34590426
P137_2,chr8,34590427,41646498
P137_2,chr8,41646499,43069441
P137_2,chr8,43069442,43409890
P137_2,chr8,43409891,44019403
P137_2,chr8,44019404,45760743
P137_2,chr8,45760744,46143585
P137_2,chr8,46143586,46947909
P137_2,chr8,46947910,47393027
P137_2,chr8,47393028,47816424
P137_2,chr8,47816425,48009320
P137_2,chr8,48009321,48758789
P137_2,chr8,48758790,49584327
P137_2,chr8,49584328,49943699
P137_2,chr8,49943700,51940634
P137_2,chr8,51940635,54423627
P137_2,chr8,54423628,56505074
P137_2,chr8,56505075,59052118
P137_2,chr8,59052119,60517158
P137_2,chr8,60517159,60931110
P137_2,chr8,60931111,61214994
P137_2,chr8,61214995,61377431
P137_2,chr8,61377432,61426207
P137_2,chr8,61426208,62173692
P137_2,chr8,62173693,62440191
P137_2,chr8,62440192,65138854
P137_2,chr8,65138855,65546366
P137_2,chr8,65546367,67133787
P137_2,chr8,67133788,67771425
P137_2,chr8,67771426,69652140
P137_2,chr8,69652141,69723685
P137_2,chr8,69723686,70543675
P137_2,chr8,70543676,71024135
P137_2,chr8,71024136,71602053
P137_2,chr8,71602054,74725057
P137_2,chr8,74725058,76111995
P137_2,chr8,76111996,77160227
P137_2,chr8,77160228,78131423
P137_2,chr8,78131424,78508900
P137_2,chr8,78508901,79166033
P137_2,chr8,79166034,79471026
P137_2,chr8,79471027,79735721
P137_2,chr8,79735722,80270961
P137_2,chr8,80270962,81044383
P137_2,chr8,81044384,81521261
P137_2,chr8,81521262,83038277
P137_2,chr8,83038278,83211327
P137_2,chr8,83211328,83402899
P137_2,chr8,83402900,83495755
P137_2,chr8,83495756,85126204
P137_2,chr8,85126205,85674332
P137_2,chr8,85674333,85938630
P137_2,chr8,85938631,85986568
P137_2,chr8,85986569,86192892
P137_2,chr8,86192893,86904933
P137_2,chr8,86904934,87319616
P137_2,chr8,87319617,87433333
P137_2,chr8,87433334,87632789
P137_2,chr8,87632790,88032574
P137_2,chr8,88032575,88403665
P137_2,chr8,88403666,88989842
P137_2,chr8,88989843,89474643
P137_2,chr8,89474644,89717085
P137_2,chr8,89717086,91074801
P137_2,chr8,91074802,92051602
P137_2,chr8,92051603,96176629
P137_2,chr8,96176630,97917756
P137_2,chr8,97917757,100353340
P137_2,chr8,100353341,100481361
P137_2,chr8,100481362,100693290
P137_2,chr8,100693291,101568614
P137_2,chr8,101568615,101680439
P137_2,chr8,101680440,102169983
P137_2,chr8,102169984,102246517
P137_2,chr8,102246518,106140278
P137_2,chr8,106140279,106425293
P137_2,chr8,106425294,107427674
P137_2,chr8,107427675,108469493
P137_2,chr8,108469494,110345598
P137_2,chr8,110345599,111309255
P137_2,chr8,111309256,111514490
P137_2,chr8,111514491,112710512
P137_2,chr8,112710513,113007286
P137_2,chr8,113007287,113227296
P137_2,chr8,113227297,114259768
P137_2,chr8,114259769,114339531
P137_2,chr8,114339532,114922777
P137_2,chr8,114922778,115528994
P137_2,chr8,115528995,115984628
P137_2,chr8,115984629,120297318
P137_2,chr8,120297319,120332097
P137_2,chr8,120332098,121229298
P137_2,chr8,121229299,122282056
P137_2,chr8,122282057,122428630
P137_2,chr8,122428631,122773149
P137_2,chr8,122773150,123067886
P137_2,chr8,123067887,123286798
P137_2,chr8,123286799,127456360
P137_2,chr8,127456361,128062350
P137_2,chr8,128062351,128376923
P137_2,chr8,128376924,131064320
P137_2,chr8,131064321,131528617
P137_2,chr8,131528618,135512971
P137_2,chr8,135512972,137969517
P137_2,chr8,137969518,140148598
P137_2,chr8,140148599,140507150
P137_2,chr8,140507151,142705737
P137_2,chr8,142705738,145611222
P137_2,chr8,145611223,145963283
P137_2,chr8,145963284,146259314
P138_1,chr8,0,3421
P138_1,chr8,3422,1754284
P138_1,chr8,1754285,2273227
P138_1,chr8,2273228,2315329
P138_1,chr8,2315330,6275036
P138_1,chr8,6275037,7415383
P138_1,chr8,7415384,7557548
P138_1,chr8,7557549,8899952
P138_1,chr8,8899953,10003949
P138_1,chr8,10003950,21047107
P138_1,chr8,21047108,25140238
P138_1,chr8,25140239,38213858
P138_1,chr8,38213859,43069441
P138_1,chr8,43069442,43409890
P138_1,chr8,43409891,44007066
P138_1,chr8,44007067,44331672
P138_1,chr8,44331673,45742859
P138_1,chr8,45742860,46717906
P138_1,chr8,46717907,49662349
P138_1,chr8,49662350,51277745
P138_1,chr8,51277746,52468000
P138_1,chr8,52468001,53996856
P138_1,chr8,53996857,54096244
P138_1,chr8,54096245,56144503
P138_1,chr8,56144504,56934310
P138_1,chr8,56934311,58919621
P138_1,chr8,58919622,59032655
P138_1,chr8,59032656,59401072
P138_1,chr8,59401073,60318747
P138_1,chr8,60318748,61680221
P138_1,chr8,61680222,61854867
P138_1,chr8,61854868,63049983
P138_1,chr8,63049984,63347578
P138_1,chr8,63347579,64994309
P138_1,chr8,64994310,66899543
P138_1,chr8,66899544,67188086
P138_1,chr8,67188087,67927246
P138_1,chr8,67927247,69146562
P138_1,chr8,69146563,70508410
P138_1,chr8,70508411,70897013
P138_1,chr8,70897014,71930373
P138_1,chr8,71930374,74193834
P138_1,chr8,74193835,74725057
P138_1,chr8,74725058,75802950
P138_1,chr8,75802951,77870210
P138_1,chr8,77870211,78976178
P138_1,chr8,78976179,79135539
P138_1,chr8,79135540,79735721
P138_1,chr8,79735722,79823191
P138_1,chr8,79823192,81705423
P138_1,chr8,81705424,82148314
P138_1,chr8,82148315,82662463
P138_1,chr8,82662464,82767843
P138_1,chr8,82767844,84114302
P138_1,chr8,84114303,84835489
P138_1,chr8,84835490,89857373
P138_1,chr8,89857374,92209767
P138_1,chr8,92209768,93486517
P138_1,chr8,93486518,93731339
P138_1,chr8,93731340,93754980
P138_1,chr8,93754981,94828663
P138_1,chr8,94828664,98212730
P138_1,chr8,98212731,99368031
P138_1,chr8,99368032,100804572
P138_1,chr8,100804573,102169983
P138_1,chr8,102169984,102450335
P138_1,chr8,102450336,105206742
P138_1,chr8,105206743,108191161
P138_1,chr8,108191162,109003425
P138_1,chr8,109003426,109665695
P138_1,chr8,109665696,110476707
P138_1,chr8,110476708,112287994
P138_1,chr8,112287995,113129682
P138_1,chr8,113129683,114543923
P138_1,chr8,114543924,119381117
P138_1,chr8,119381118,120865670
P138_1,chr8,120865671,122571365
P138_1,chr8,122571366,124545189
P138_1,chr8,124545190,143354861
P138_1,chr8,143354862,144784696
P138_1,chr8,144784697,146259314
P138_2,chr8,0,3421
P138_2,chr8,3422,4284820
P138_2,chr8,4284821,6320440
P138_2,chr8,6320441,12031906
P138_2,chr8,12031907,12941728
P138_2,chr8,12941729,15412932
P138_2,chr8,15412933,17808728
P138_2,chr8,17808729,22882590
P138_2,chr8,22882591,23011155
P138_2,chr8,23011156,29988314
P138_2,chr8,29988315,39135927
P138_2,chr8,39135928,46947909
P138_2,chr8,46947910,47810869
P138_2,chr8,47810870,48116907
P138_2,chr8,48116908,50429966
P138_2,chr8,50429967,53675735
P138_2,chr8,53675736,56585266
P138_2,chr8,56585267,60517158
P138_2,chr8,60517159,60707735
P138_2,chr8,60707736,62190182
P138_2,chr8,62190183,63046827
P138_2,chr8,63046828,63494540
P138_2,chr8,63494541,63913306
P138_2,chr8,63913307,64116225
P138_2,chr8,64116226,65187539
P138_2,chr8,65187540,66207521
P138_2,chr8,66207522,67652485
P138_2,chr8,67652486,69778332
P138_2,chr8,69778333,72678374
P138_2,chr8,72678375,73535619
P138_2,chr8,73535620,76499938
P138_2,chr8,76499939,77263798
P138_2,chr8,77263799,77340632
P138_2,chr8,77340633,77417533
P138_2,chr8,77417534,79418417
P138_2,chr8,79418418,79471026
P138_2,chr8,79471027,79529104
P138_2,chr8,79529105,81575709
P138_2,chr8,81575710,82823676
P138_2,chr8,82823677,84292801
P138_2,chr8,84292802,86245495
P138_2,chr8,86245496,86300166
P138_2,chr8,86300167,86783038
P138_2,chr8,86783039,86828182
P138_2,chr8,86828183,87215917
P138_2,chr8,87215918,87253567
P138_2,chr8,87253568,91226524
P138_2,chr8,91226525,91654071
P138_2,chr8,91654072,94762196
P138_2,chr8,94762197,94765567
P138_2,chr8,94765568,97866694
P138_2,chr8,97866695,98197017
P138_2,chr8,98197018,98212730
P138_2,chr8,98212731,146259314
P139_1,chr8,0,3421
P139_1,chr8,3422,9080070
P139_1,chr8,9080071,9914712
P139_1,chr8,9914713,12007608
P139_1,chr8,12007609,12941728
P139_1,chr8,12941729,29988314
P139_1,chr8,29988315,35139845
P139_1,chr8,35139846,38172868
P139_1,chr8,38172869,38665543
P139_1,chr8,38665544,50216529
P139_1,chr8,50216530,75906399
P139_1,chr8,75906400,78140369
P139_1,chr8,78140370,146259314
P139_2,chr8,0,3421
P139_2,chr8,3422,288341
P139_2,chr8,288342,1754284
P139_2,chr8,1754285,10133540
P139_2,chr8,10133541,26045114
P139_2,chr8,26045115,53996856
P139_2,chr8,53996857,59098368
P139_2,chr8,59098369,59369326
P139_2,chr8,59369327,60673759
P139_2,chr8,60673760,80715814
P139_2,chr8,80715815,98619532
P139_2,chr8,98619533,101128856
P139_2,chr8,101128857,111078034
P139_2,chr8,111078035,146259314
P13_1,chr8,0,3421
P13_1,chr8,3422,63060920
P13_1,chr8,63060921,72722577
P13_1,chr8,72722578,91454719
P13_1,chr8,91454720,146259314
P13_2,chr8,0,3421
P13_2,chr8,3422,3946013
P13_2,chr8,3946014,13811096
P13_2,chr8,13811097,16767801
P13_2,chr8,16767802,23875004
P13_2,chr8,23875005,24014914
P13_2,chr8,24014915,24313892
P13_2,chr8,24313893,25109802
P13_2,chr8,25109803,41203430
P13_2,chr8,41203431,41405912
P13_2,chr8,41405913,45802176
P13_2,chr8,45802177,46332469
P13_2,chr8,46332470,52066381
P13_2,chr8,52066382,55224576
P13_2,chr8,55224577,58486531
P13_2,chr8,58486532,62425295
P13_2,chr8,62425296,65395884
P13_2,chr8,65395885,66405927
P13_2,chr8,66405928,67927246
P13_2,chr8,67927247,72803642
P13_2,chr8,72803643,74667094
P13_2,chr8,74667095,76950529
P13_2,chr8,76950530,85719071
P13_2,chr8,85719072,85980913
P13_2,chr8,85980914,95643673
P13_2,chr8,95643674,96519752
P13_2,chr8,96519753,98401991
P13_2,chr8,98401992,99488880
P13_2,chr8,99488881,99633413
P13_2,chr8,99633414,99890754
P13_2,chr8,99890755,100120116
P13_2,chr8,100120117,102719953
P13_2,chr8,102719954,104594591
P13_2,chr8,104594592,105775457
P13_2,chr8,105775458,106313667
P13_2,chr8,106313668,108740424
P13_2,chr8,108740425,109069678
P13_2,chr8,109069679,112630436
P13_2,chr8,112630437,113914361
P13_2,chr8,113914362,114213196
P13_2,chr8,114213197,116459814
P13_2,chr8,116459815,118588462
P13_2,chr8,118588463,121701090
P13_2,chr8,121701091,124564617
P13_2,chr8,124564618,131613064
P13_2,chr8,131613065,146259314
P140_1,chr8,0,3421
P140_1,chr8,3422,83062853
P140_1,chr8,83062854,101688492
P140_1,chr8,101688493,119318005
P140_1,chr8,119318006,123868469
P140_1,chr8,123868470,132605120
P140_1,chr8,132605121,146259314
P140_2,chr8,0,3421
P140_2,chr8,3422,146259314
P141_1,chr8,0,3421
P141_1,chr8,3422,146259314
P141_2,chr8,0,3421
P141_2,chr8,3422,89455823
P141_2,chr8,89455824,96176629
P141_2,chr8,96176630,97588705
P141_2,chr8,97588706,98830857
P141_2,chr8,98830858,100693290
P141_2,chr8,100693291,107729239
P141_2,chr8,107729240,122571365
P141_2,chr8,122571366,127152819
P141_2,chr8,127152820,138132076
P141_2,chr8,138132077,146259314
P142_1,chr8,0,3421
P142_1,chr8,3422,1402643
P142_1,chr8,1402644,4753100
P142_1,chr8,4753101,6772552
P142_1,chr8,6772553,10386059
P142_1,chr8,10386060,10649999
P142_1,chr8,10650000,12366517
P142_1,chr8,12366518,12479666
P142_1,chr8,12479667,13079241
P142_1,chr8,13079242,13817269
P142_1,chr8,13817270,19047020
P142_1,chr8,19047021,19799172
P142_1,chr8,19799173,21216570
P142_1,chr8,21216571,27911344
P142_1,chr8,27911345,29009201
P142_1,chr8,29009202,31379155
P142_1,chr8,31379156,33172146
P142_1,chr8,33172147,34529386
P142_1,chr8,34529387,35646285
P142_1,chr8,35646286,37939036
P142_1,chr8,37939037,41851927
P142_1,chr8,41851928,44735194
P142_1,chr8,44735195,47964836
P142_1,chr8,47964837,48257775
P142_1,chr8,48257776,48472080
P142_1,chr8,48472081,48672870
P142_1,chr8,48672871,49214586
P142_1,chr8,49214587,49584327
P142_1,chr8,49584328,54107407
P142_1,chr8,54107408,56126383
P142_1,chr8,56126384,57061736
P142_1,chr8,57061737,58037326
P142_1,chr8,58037327,59861547
P142_1,chr8,59861548,61393224
P142_1,chr8,61393225,62889155
P142_1,chr8,62889156,63169240
P142_1,chr8,63169241,64742232
P142_1,chr8,64742233,67797382
P142_1,chr8,67797383,68760197
P142_1,chr8,68760198,70631446
P142_1,chr8,70631447,70705863
P142_1,chr8,70705864,76732151
P142_1,chr8,76732152,78840094
P142_1,chr8,78840095,78992118
P142_1,chr8,78992119,83549127
P142_1,chr8,83549128,84114117
P142_1,chr8,84114118,84293133
P142_1,chr8,84293134,84381896
P142_1,chr8,84381897,86574286
P142_1,chr8,86574287,87175883
P142_1,chr8,87175884,88784222
P142_1,chr8,88784223,89324517
P142_1,chr8,89324518,91057505
P142_1,chr8,91057506,92428761
P142_1,chr8,92428762,93301486
P142_1,chr8,93301487,94018553
P142_1,chr8,94018554,94829502
P142_1,chr8,94829503,95307552
P142_1,chr8,95307553,95812371
P142_1,chr8,95812372,96680150
P142_1,chr8,96680151,96865115
P142_1,chr8,96865116,97917756
P142_1,chr8,97917757,100360435
P142_1,chr8,100360436,104343572
P142_1,chr8,104343573,104883473
P142_1,chr8,104883474,107938969
P142_1,chr8,107938970,110935947
P142_1,chr8,110935948,111672288
P142_1,chr8,111672289,112377115
P142_1,chr8,112377116,116160249
P142_1,chr8,116160250,118923470
P142_1,chr8,118923471,119078438
P142_1,chr8,119078439,120496427
P142_1,chr8,120496428,128851415
P142_1,chr8,128851416,129149364
P142_1,chr8,129149365,132767553
P142_1,chr8,132767554,137969517
P142_1,chr8,137969518,140935349
P142_1,chr8,140935350,142147938
P142_1,chr8,142147939,146259314
P142_2,chr8,0,3421
P142_2,chr8,3422,146259314
P143_1,chr8,0,3421
P143_1,chr8,3422,2315329
P143_1,chr8,2315330,4753100
P143_1,chr8,4753101,6275036
P143_1,chr8,6275037,6368720
P143_1,chr8,6368721,11502311
P143_1,chr8,11502312,12031906
P143_1,chr8,12031907,12495306
P143_1,chr8,12495307,17719382
P143_1,chr8,17719383,17808728
P143_1,chr8,17808729,18313448
P143_1,chr8,18313449,19047020
P143_1,chr8,19047021,19799172
P143_1,chr8,19799173,20768603
P143_1,chr8,20768604,23890613
P143_1,chr8,23890614,25137175
P143_1,chr8,25137176,36013327
P143_1,chr8,36013328,36179024
P143_1,chr8,36179025,43864083
P143_1,chr8,43864084,44007066
P143_1,chr8,44007067,46049716
P143_1,chr8,46049717,46897100
P143_1,chr8,46897101,47964836
P143_1,chr8,47964837,48472080
P143_1,chr8,48472081,51226151
P143_1,chr8,51226152,54449268
P143_1,chr8,54449269,56851682
P143_1,chr8,56851683,58616553
P143_1,chr8,58616554,59806592
P143_1,chr8,59806593,62168941
P143_1,chr8,62168942,62369133
P143_1,chr8,62369134,63593863
P143_1,chr8,63593864,65856107
P143_1,chr8,65856108,66705262
P143_1,chr8,66705263,69242524
P143_1,chr8,69242525,75289813
P143_1,chr8,75289814,76081670
P143_1,chr8,76081671,77313957
P143_1,chr8,77313958,78131423
P143_1,chr8,78131424,79823191
P143_1,chr8,79823192,82662463
P143_1,chr8,82662464,83008710
P143_1,chr8,83008711,85056456
P143_1,chr8,85056457,86137906
P143_1,chr8,86137907,86168269
P143_1,chr8,86168270,86904933
P143_1,chr8,86904934,88722124
P143_1,chr8,88722125,89652444
P143_1,chr8,89652445,89917591
P143_1,chr8,89917592,93238732
P143_1,chr8,93238733,94557600
P143_1,chr8,94557601,94762220
P143_1,chr8,94762221,94907640
P143_1,chr8,94907641,96753812
P143_1,chr8,96753813,96776878
P143_1,chr8,96776879,100288590
P143_1,chr8,100288591,101568614
P143_1,chr8,101568615,101602515
P143_1,chr8,101602516,106096876
P143_1,chr8,106096877,108469493
P143_1,chr8,108469494,110637579
P143_1,chr8,110637580,119813569
P143_1,chr8,119813570,124323632
P143_1,chr8,124323633,130013345
P143_1,chr8,130013346,131195019
P143_1,chr8,131195020,131415688
P143_1,chr8,131415689,140368803
P143_1,chr8,140368804,145370290
P143_1,chr8,145370291,145428211
P143_1,chr8,145428212,146259314
P143_2,chr8,0,3421
P143_2,chr8,3422,1754284
P143_2,chr8,1754285,6573398
P143_2,chr8,6573399,13079241
P143_2,chr8,13079242,13817269
P143_2,chr8,13817270,21216570
P143_2,chr8,21216571,22879865
P143_2,chr8,22879866,22882590
P143_2,chr8,22882591,26840140
P143_2,chr8,26840141,33870926
P143_2,chr8,33870927,34548640
P143_2,chr8,34548641,39312654
P143_2,chr8,39312655,46852742
P143_2,chr8,46852743,49166967
P143_2,chr8,49166968,51608648
P143_2,chr8,51608649,53968474
P143_2,chr8,53968475,55969132
P143_2,chr8,55969133,62173692
P143_2,chr8,62173693,62790445
P143_2,chr8,62790446,63184717
P143_2,chr8,63184718,64742232
P143_2,chr8,64742233,66224496
P143_2,chr8,66224497,66829639
P143_2,chr8,66829640,73489302
P143_2,chr8,73489303,77805203
P143_2,chr8,77805204,82294168
P143_2,chr8,82294169,84411580
P143_2,chr8,84411581,87279226
P143_2,chr8,87279227,89385203
P143_2,chr8,89385204,90756287
P143_2,chr8,90756288,91074801
P143_2,chr8,91074802,94608809
P143_2,chr8,94608810,95205117
P143_2,chr8,95205118,95471691
P143_2,chr8,95471692,96774820
P143_2,chr8,96774821,97248088
P143_2,chr8,97248089,97960269
P143_2,chr8,97960270,99582785
P143_2,chr8,99582786,100494076
P143_2,chr8,100494077,103743668
P143_2,chr8,103743669,104705645
P143_2,chr8,104705646,106412430
P143_2,chr8,106412431,106610199
P143_2,chr8,106610200,107697095
P143_2,chr8,107697096,107831495
P143_2,chr8,107831496,108975750
P143_2,chr8,108975751,110096572
P143_2,chr8,110096573,112877366
P143_2,chr8,112877367,113227296
P143_2,chr8,113227297,116837978
P143_2,chr8,116837979,117766478
P143_2,chr8,117766479,120695236
P143_2,chr8,120695237,122287058
P143_2,chr8,122287059,122598386
P143_2,chr8,122598387,125776538
P143_2,chr8,125776539,133020402
P143_2,chr8,133020403,136371521
P143_2,chr8,136371522,140572453
P143_2,chr8,140572454,142506812
P143_2,chr8,142506813,146259314
P144_1,chr8,0,3421
P144_1,chr8,3422,4010795
P144_1,chr8,4010796,26143887
P144_1,chr8,26143888,29141557
P144_1,chr8,29141558,29394433
P144_1,chr8,29394434,29712706
P144_1,chr8,29712707,33870926
P144_1,chr8,33870927,39278613
P144_1,chr8,39278614,42840987
P144_1,chr8,42840988,43409890
P144_1,chr8,43409891,46169899
P144_1,chr8,46169900,46456564
P144_1,chr8,46456565,47230642
P144_1,chr8,47230643,48331452
P144_1,chr8,48331453,48472080
P144_1,chr8,48472081,51940634
P144_1,chr8,51940635,54449268
P144_1,chr8,54449269,59209310
P144_1,chr8,59209311,69376335
P144_1,chr8,69376336,69577941
P144_1,chr8,69577942,70621779
P144_1,chr8,70621780,70727646
P144_1,chr8,70727647,79090964
P144_1,chr8,79090965,82790551
P144_1,chr8,82790552,82887174
P144_1,chr8,82887175,83147843
P144_1,chr8,83147844,83424022
P144_1,chr8,83424023,86548967
P144_1,chr8,86548968,94562956
P144_1,chr8,94562957,95205117
P144_1,chr8,95205118,97400076
P144_1,chr8,97400077,98288613
P144_1,chr8,98288614,98621946
P144_1,chr8,98621947,99670066
P144_1,chr8,99670067,101680439
P144_1,chr8,101680440,102450335
P144_1,chr8,102450336,102976380
P144_1,chr8,102976381,103624762
P144_1,chr8,103624763,104189200
P144_1,chr8,104189201,104192737
P144_1,chr8,104192738,107549066
P144_1,chr8,107549067,109069678
P144_1,chr8,109069679,115269195
P144_1,chr8,115269196,115713140
P144_1,chr8,115713141,126347323
P144_1,chr8,126347324,127212773
P144_1,chr8,127212774,144402253
P144_1,chr8,144402254,145768794
P144_1,chr8,145768795,145879261
P144_1,chr8,145879262,146259314
P144_2,chr8,0,3421
P144_2,chr8,3422,1623106
P144_2,chr8,1623107,9022633
P144_2,chr8,9022634,38154795
P144_2,chr8,38154796,69652140
P144_2,chr8,69652141,80892683
P144_2,chr8,80892684,93138048
P144_2,chr8,93138049,146259314
P145_1,chr8,0,3421
P145_1,chr8,3422,23890613
P145_1,chr8,23890614,70031752
P145_1,chr8,70031753,146259314
P145_2,chr8,0,3421
P145_2,chr8,3422,6772552
P145_2,chr8,6772553,43923343
P145_2,chr8,43923344,83963821
P145_2,chr8,83963822,85019681
P145_2,chr8,85019682,124437306
P145_2,chr8,124437307,146259314
P146_1,chr8,0,3421
P146_1,chr8,3422,1331224
P146_1,chr8,1331225,9296213
P146_1,chr8,9296214,16730791
P146_1,chr8,16730792,18862430
P146_1,chr8,18862431,22256886
P146_1,chr8,22256887,45709531
P146_1,chr8,45709532,47280356
P146_1,chr8,47280357,52741855
P146_1,chr8,52741856,61855800
P146_1,chr8,61855801,62056799
P146_1,chr8,62056800,62326080
P146_1,chr8,62326081,63046827
P146_1,chr8,63046828,65162612
P146_1,chr8,65162613,68958416
P146_1,chr8,68958417,69845804
P146_1,chr8,69845805,71224184
P146_1,chr8,71224185,71321008
P146_1,chr8,71321009,72831579
P146_1,chr8,72831580,76043721
P146_1,chr8,76043722,76373095
P146_1,chr8,76373096,79507304
P146_1,chr8,79507305,80903887
P146_1,chr8,80903888,82473630
P146_1,chr8,82473631,83234905
P146_1,chr8,83234906,86279672
